"No.","Time","Source","Destination","Protocol","Length","Info"
"11","1.020244","13.107.17.20","192.168.10.162","STUN","228","Allocate Error Response error-code: 401 (Unauthorized) The request did not contain a Message-Integrity attribute[Malformed Packet]"
"16","1.147584","104.44.200.250","192.168.10.162","STUN","195","Allocate Success Response lifetime: 60 MAPPED-ADDRESS: 104.44.200.250:3480 XOR-MAPPED-ADDRESS: 88.201.137.108:35920[Malformed Packet]"
"48","3.183487","104.44.200.250","192.168.10.162","CLASSIC-STUN","198","Message: Data Indication"
"50","3.290131","104.44.200.250","192.168.10.162","CLASSIC-STUN","210","Message: Data Indication"
"62","5.641841","104.44.200.250","192.168.10.162","CLASSIC-STUN","198","Message: Data Indication"
"75","7.178972","104.44.200.250","192.168.10.162","CLASSIC-STUN","174","Message: Data Indication"
"76","7.203928","104.44.200.250","192.168.10.162","CLASSIC-STUN","174","Message: Data Indication"
"79","7.253441","104.44.200.250","192.168.10.162","CLASSIC-STUN","174","Message: Data Indication"
"81","7.395435","104.44.200.242","192.168.10.162","STUN","130","Binding Success Response XOR-MAPPED-ADDRESS: 88.201.137.108:1040"
"103","9.469203","104.44.200.250","192.168.10.162","CLASSIC-STUN","188","Message: Data Indication"
"104","9.469203","104.44.200.250","192.168.10.162","CLASSIC-STUN","168","Message: Data Indication"
"119","9.663823","104.44.200.250","192.168.10.162","CLASSIC-STUN","124","Message: Data Indication"
"120","9.670019","104.44.200.250","192.168.10.162","CLASSIC-STUN","1300","Message: Data Indication"
"121","9.813724","104.44.200.250","192.168.10.162","CLASSIC-STUN","184","Message: Data Indication"
"122","9.824192","104.44.200.250","192.168.10.162","CLASSIC-STUN","128","Message: Data Indication"
"123","9.835502","104.44.200.250","192.168.10.162","CLASSIC-STUN","204","Message: Data Indication"
"125","9.863496","104.44.200.250","192.168.10.162","CLASSIC-STUN","245","Message: Data Indication"
"126","9.864643","104.44.200.250","192.168.10.162","CLASSIC-STUN","128","Message: Data Indication"
"127","9.865087","104.44.200.250","192.168.10.162","CLASSIC-STUN","260","Message: Data Indication"
"128","9.906032","104.44.200.250","192.168.10.162","CLASSIC-STUN","252","Message: Data Indication"
"129","9.964698","104.44.200.250","192.168.10.162","CLASSIC-STUN","237","Message: Data Indication"
"130","10.029031","104.44.200.250","192.168.10.162","CLASSIC-STUN","223","Message: Data Indication"
"131","10.084300","104.44.200.250","192.168.10.162","CLASSIC-STUN","212","Message: Data Indication"
"147","10.163282","104.44.200.250","192.168.10.162","CLASSIC-STUN","223","Message: Data Indication"
"171","10.289047","104.44.200.250","192.168.10.162","CLASSIC-STUN","230","Message: Data Indication"
"181","10.349327","104.44.200.250","192.168.10.162","CLASSIC-STUN","236","Message: Data Indication"
"217","10.406482","104.44.200.250","192.168.10.162","CLASSIC-STUN","213","Message: Data Indication"
"226","10.471870","104.44.200.250","192.168.10.162","CLASSIC-STUN","207","Message: Data Indication"
"235","10.523859","104.44.200.250","192.168.10.162","CLASSIC-STUN","195","Message: Data Indication"
"238","10.565891","104.44.200.250","192.168.10.162","CLASSIC-STUN","143","Message: Data Indication"
"239","10.565892","104.44.200.250","192.168.10.162","CLASSIC-STUN","138","Message: Data Indication"
"241","10.575765","104.44.200.250","192.168.10.162","CLASSIC-STUN","142","Message: Data Indication"
"243","10.600237","104.44.200.250","192.168.10.162","CLASSIC-STUN","144","Message: Data Indication"
"246","10.630784","104.44.200.250","192.168.10.162","CLASSIC-STUN","147","Message: Data Indication"
"247","10.633843","104.44.200.250","192.168.10.162","CLASSIC-STUN","145","Message: Data Indication"
"250","10.671087","104.44.200.250","192.168.10.162","CLASSIC-STUN","140","Message: Data Indication"
"251","10.673540","104.44.200.250","192.168.10.162","CLASSIC-STUN","143","Message: Data Indication"
"255","10.703486","104.44.200.250","192.168.10.162","CLASSIC-STUN","143","Message: Data Indication"
"257","10.713066","104.44.200.250","192.168.10.162","CLASSIC-STUN","143","Message: Data Indication"
"262","10.747102","104.44.200.250","192.168.10.162","CLASSIC-STUN","137","Message: Data Indication"
"265","10.757125","104.44.200.250","192.168.10.162","CLASSIC-STUN","138","Message: Data Indication"
"267","10.784685","104.44.200.250","192.168.10.162","CLASSIC-STUN","145","Message: Data Indication"
"271","10.800110","104.44.200.250","192.168.10.162","CLASSIC-STUN","141","Message: Data Indication"
"273","10.812309","104.44.200.250","192.168.10.162","CLASSIC-STUN","184","Message: Data Indication"
"275","10.844248","104.44.200.250","192.168.10.162","CLASSIC-STUN","140","Message: Data Indication"
"276","10.844248","104.44.200.250","192.168.10.162","CLASSIC-STUN","141","Message: Data Indication"
"279","10.864216","104.44.200.250","192.168.10.162","CLASSIC-STUN","140","Message: Data Indication"
"281","10.877173","104.44.200.250","192.168.10.162","CLASSIC-STUN","143","Message: Data Indication"
"284","10.914546","104.44.200.250","192.168.10.162","CLASSIC-STUN","147","Message: Data Indication"
"287","10.920541","104.44.200.250","192.168.10.162","CLASSIC-STUN","145","Message: Data Indication"
"289","10.935099","104.44.200.250","192.168.10.162","CLASSIC-STUN","148","Message: Data Indication"
"291","10.964603","104.44.200.250","192.168.10.162","CLASSIC-STUN","142","Message: Data Indication"
"293","10.983319","104.44.200.250","192.168.10.162","CLASSIC-STUN","146","Message: Data Indication"
"295","10.993920","104.44.200.250","192.168.10.162","CLASSIC-STUN","140","Message: Data Indication"
"298","11.028847","104.44.200.250","192.168.10.162","CLASSIC-STUN","145","Message: Data Indication"
"299","11.034573","104.44.200.250","192.168.10.162","CLASSIC-STUN","143","Message: Data Indication"
"303","11.063931","104.44.200.250","192.168.10.162","CLASSIC-STUN","137","Message: Data Indication"
"305","11.073704","104.44.200.250","192.168.10.162","CLASSIC-STUN","149","Message: Data Indication"
"307","11.092818","104.44.200.250","192.168.10.162","CLASSIC-STUN","148","Message: Data Indication"
"309","11.123637","104.44.200.250","192.168.10.162","CLASSIC-STUN","139","Message: Data Indication"
"311","11.133728","104.44.200.250","192.168.10.162","CLASSIC-STUN","142","Message: Data Indication"
"318","11.183002","104.44.200.250","192.168.10.162","CLASSIC-STUN","147","Message: Data Indication"
"319","11.183003","104.44.200.250","192.168.10.162","CLASSIC-STUN","141","Message: Data Indication"
"321","11.193093","104.44.200.250","192.168.10.162","CLASSIC-STUN","143","Message: Data Indication"
"325","11.233993","104.44.200.250","192.168.10.162","CLASSIC-STUN","149","Message: Data Indication"
